Gene1	Gene2
ABZ1	SRL4
ABZ1	SST2
ABZ1	SUR4
ABZ1	SWF1
ABZ1	SWI6
ABZ1	TAN1
ABZ1	TEL1
ABZ1	TOD6
ABZ1	TOK1
ABZ1	TPS2
ABZ1	TRK2
ABZ1	UBC7
ABZ1	UBP15
ABZ1	UBR1
ABZ1	UBR2
ABZ1	UME6
ABZ1	VID24
ABZ1	VPH1
ABZ1	VPS41
ABZ1	VPS70
ABZ1	VRP1
ABZ1	XDJ1
ABZ1	XPT1
ABZ1	YAR030C
ABZ1	YBP2
ABZ1	YBR062C
ABZ1	YBR224W
ABZ1	YBR238C
ABZ1	YBR277C
ABZ1	YCR062W
ABZ1	YCR102W-A
ABZ1	YDL162C
ABZ1	YDR095C
ABZ1	YDR250C
ABZ1	YDR274C
ABZ1	YDR290W
ABZ1	YDR506C
ABZ1	YDR537C
ABZ1	YGL024W
ABZ1	YGL152C
ABZ1	YGR110W
ABZ1	YGR111W
ABZ1	YGR122C-A
ABZ1	YGR283C
ABZ1	YHK8
ABZ1	YHL008C
ABZ1	YHR020W_damp
ABZ1	YIP4
ABZ1	YIR007W
ABZ1	YIR016W
ABZ1	YJR038C
ABZ1	YJU3
ABZ1	YKL063C
ABZ1	YKL200C
